cluster_method,variable,type,test,stat,pvalue,n,n_groups
gmm_k3,静脉(右上肺叶)平均密度(HU),numeric,kruskal,1.6675326856961605,0.434410064084805,95,3
gmm_k3,WBC,numeric,kruskal,1.6232483755121272,0.44413611964569866,105,3
gmm_k3,静脉BV10+(ml)_y,numeric,kruskal,1.590633017821233,0.4514383280547136,95,3
gmm_k3,左上肺叶支气管体积(ml),numeric,kruskal,1.5499347868550912,0.46071880321509084,95,3
gmm_k3,UA,numeric,kruskal,1.4943653906410315,0.4736992296374346,57,3
gmm_k3,静脉容积(ml)_y,numeric,kruskal,1.4510752548367236,0.4840642527705351,95,3
gmm_k3,静脉(右下肺叶)最大密度(HU),numeric,kruskal,1.4139869483218084,0.49312456270734595,95,3
gmm_k3,静脉(右中肺叶)血管分支数量,numeric,kruskal,1.3125836868030616,0.518771458037311,95,3
gmm_k3,动脉(右中肺叶)血管分支数量,numeric,kruskal,1.2489672179825129,0.5355379040866097,95,3
gmm_k3,左下肺叶支气管体积(ml),numeric,kruskal,1.223813420033275,0.5423158435901894,95,3
gmm_k3,动脉(左上肺叶)弯曲度,numeric,kruskal,1.2225684036262379,0.5426535447516885,95,3
gmm_k3,左右肺弯曲度,numeric,kruskal,1.2103429893904831,0.5459807858020167,95,3
gmm_k3,静脉(右中肺叶)弯曲度,numeric,kruskal,1.1211636815063255,0.5708768078063182,95,3
gmm_k3,静脉BV10(ml)_y,numeric,kruskal,1.0774010124123947,0.5835060223633619,95,3
gmm_k3,cTnT,numeric,kruskal,1.069408146528143,0.5858426309929905,82,3
gmm_k3,静脉(右中肺叶)最小密度(HU),numeric,kruskal,1.0565829131401745,0.589611486426056,95,3
gmm_k3,动脉血管分支数量_y,numeric,kruskal,1.0460447676396571,0.5927263913661709,95,3
gmm_k3,左肺血管体积(ml),numeric,kruskal,1.0248410535185204,0.5990438209131694,95,3
gmm_k3,静脉(左上肺叶)弯曲度,numeric,kruskal,1.0138497738919852,0.6023450127573757,92,3
gmm_k3,肺血管BV5(ml)_y,numeric,kruskal,0.9712862318840507,0.615301359379895,95,3
gmm_k3,K+,numeric,kruskal,0.9453433200393458,0.6233347032855825,57,3
gmm_k3,telephone,numeric,kruskal,0.9269157509157822,0.6291045150343537,104,3
gmm_k3,静脉血管分支数量_y,numeric,kruskal,0.9055682111776056,0.6358553964351643,95,3
gmm_k3,肺血管分形维度,numeric,kruskal,0.9002951425005108,0.6375340629808002,95,3
gmm_k3,左右肺Pi10(mm),numeric,kruskal,0.8935350357118068,0.6396926080981977,95,3
gmm_k3,动脉(右中肺叶)最大密度(HU),numeric,kruskal,0.8901862013768014,0.6407646176282387,95,3
